IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
158.101.140.206,0,0,0,0,0
43.100.17.13,1,1,1,1,1
43.100.70.146,2,2,2,2,2
43.100.70.147,3,3,3,3,3
43.100.70.148,4,4,4,4,4
43.100.70.149,5,5,5,5,5
43.100.70.150,6,6,6,6,6
47.238.71.46,7,7,7,7,7
47.238.74.255,8,8,8,8,8
47.238.88.177,9,9,9,9,9
47.238.89.163,10,10,10,10,10
47.238.93.164,11,11,11,11,11
47.239.117.205,12,12,12,12,12
47.239.125.132,13,13,13,13,13
47.239.139.15,14,14,14,14,14
47.239.183.154,15,15,15,15,15
47.239.60.52,16,16,16,16,16
47.239.64.163,17,17,17,17,17
47.239.8.172,18,18,18,18,18
47.240.61.48,19,19,19,19,19
47.243.166.181,20,20,20,20,20
47.243.206.137,21,21,21,21,21
47.243.32.223,22,22,22,22,22
47.243.54.76,23,23,23,23,23
