IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
132.145.114.128,0,0,0,0,0
132.145.115.62,1,1,1,1,1
132.145.116.185,2,2,2,2,2
138.2.39.24,3,3,3,3,3
138.2.5.136,4,4,4,4,4
138.3.222.33,5,5,5,5,5
141.147.147.180,6,6,6,6,6
141.147.154.214,7,7,7,7,7
141.147.168.141,8,8,8,8,8
141.147.185.15,9,9,9,9,9
141.147.185.63,10,10,10,10,10
141.147.188.120,11,11,11,11,11
151.145.67.220,12,12,12,12,12
152.69.195.36,13,13,13,13,13
155.248.181.189,14,14,14,14,14
158.101.140.193,15,15,15,15,15
158.101.77.33,16,16,16,16,16
158.101.80.84,17,17,17,17,17
168.138.46.67,18,18,18,18,18
193.123.161.116,19,19,19,19,19
217.142.243.226,20,20,20,20,20
47.74.20.126,21,21,21,21,21
47.74.59.170,22,22,22,22,22
47.79.43.222,23,23,23,23,23
47.91.21.167,24,24,24,24,24
8.209.209.155,25,25,25,25,25
8.209.224.148,26,26,26,26,26
8.209.4.13,27,27,27,27,27
8.209.4.205,28,28,28,28,28
8.211.60.34,29,29,29,29,29
