IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
129.154.194.191,0,0,0,0,0
129.154.206.112,1,1,1,1,1
129.154.211.39,2,2,2,2,2
131.186.22.50,3,3,3,3,3
132.226.226.150,4,4,4,4,4
144.24.90.107,5,5,5,5,5
146.56.129.206,6,6,6,6,6
146.56.141.197,7,7,7,7,7
146.56.179.164,8,8,8,8,8
152.67.203.34,9,9,9,9,9
158.179.174.3,10,10,10,10,10
193.122.97.248,11,11,11,11,11
193.123.230.250,12,12,12,12,12
193.123.231.112,13,13,13,13,13
64.110.79.188,14,14,14,14,14
8.213.157.76,15,15,15,15,15
8.220.206.128,16,16,16,16,16
8.220.221.137,17,17,17,17,17
8.220.242.167,18,18,18,18,18
